HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spndng_Per_Dsg_Unt_2024,Avg_Spndng_Per_Clm_2024,Avg_Spndng_Per_Bene_2024,Outlier_Flag_2024,Avg_DY24_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24,spending_growth,is_new_drug
90371,Hepatitis b immune globulin for injection into muscle,HyperHEP B*,Hepatitis B Immune Globulin*,82202.82,856.0,147.0,83.0,96.03133178,559.2028571,990.3954217,0.0,63082.52,566.0,134.0,70.0,111.4532156,470.7650746,901.1788571,0.0,76696.89,565.0,149.0,69.0,135.746708,514.7442282,1111.54913,0.0,71285.73,550.0,142.0,59.0,129.6104182,502.0121831,1208.232712,0.0,53811.85,389.0,93,52.0,138.3338046,578.622043,1034.843269,0,140.67725,0.06730467,0.095541522,-23.259907628473098,False
90375,Rabies immune globulin for injection,HyperRAB*,Rabies Immune Globulin/PF*,8250491.09,31501.0,3069.0,3021.0,261.9120374,2688.332059,2731.046372,0.0,7771016.35,28617.0,2887.0,2868.0,271.5524461,2691.727174,2709.559397,0.0,8826899.47,31812.0,3189.0,3154.0,277.4707491,2767.920812,2798.636484,0.0,10115323.58,34896.0,3388.0,3369.0,289.8705749,2985.632698,3002.470638,0.0,10531197.21,37341.0,3634,3618.0,282.0277232,2897.962909,2910.778665,0,287.9305,-0.027056391,0.018671335,-5.811469096441388,False
90377,Rabies immune globulin for injection beneath the skin and/or into muscle,Kedrab,Rabies Immune Globulin/PF,,,,,,,,,41097.88,183.0,16.0,16.0,224.5785792,2568.6175,2568.6175,1.0,713054.99,3078.0,336.0,334.0,231.6617901,2122.18747,2134.89518,0.0,2018800.83,8585.0,864.0,862.0,235.1544356,2336.575035,2341.996323,0.0,2704770.81,10687.0,1026,1023.0,253.089811,2636.22886,2643.959736,0,258.30625,0.076270623,0.040643823,,True
90632,Hepatitis a vaccine adult dosage,Havrix*,Hepatitis A Virus Vaccine/PF*,38403.54,657.0,657.0,649.0,58.45287671,58.45287671,59.17340524,0.0,6230.07,95.0,95.0,88.0,65.57968421,65.57968421,70.79625,0.0,4945.47,77.0,77.0,69.0,64.22688312,64.22688312,71.67347826,0.0,7695.51,91.0,91.0,89.0,84.56604396,84.56604396,86.46640449,1.0,5938.06,89.0,89,84.0,66.71977528,66.71977528,70.69119048,0,70.46225,-0.211033505,0.033623016,-83.77735490009515,False
90653,"Influenza vaccine, inactivated",Fluad *,Flu Vacc TS(65up)/Mf59c/PF*,26330015.42,464590.0,464571.0,461258.0,56.6736594,56.67597724,57.08305421,0.0,2196936.46,40092.0,40091.0,39955.0,54.79737753,54.79874436,54.98526993,0.0,220713.69,3368.0,3365.0,3356.0,65.53256829,65.59099257,65.76689213,0.0,267141.4,2771.0,2771.0,2757.0,96.40613497,96.40613497,96.89568371,0.0,302904588.0,3772142.5,3772062,3768112.0,80.30040964,80.30212334,80.38630168,0,83.49,-0.167061208,0.091023553,-91.65615201907086,False
90656,"Influenza vaccine, trivalent, split virus, preservative-free, 0.5 ml dosage",Afluria *,Flu Vaccin TS 5yr Up/PF*,195295.27,6431.0,6431.0,6374.0,30.36779195,30.36779195,30.63935833,1.0,123380.75,4007.0,3993.0,3970.0,30.79130272,30.89926121,31.07827456,1.0,93738.25,1864.0,1859.0,1855.0,50.28876073,50.42401829,50.53274933,0.0,81812.57,1555.0,1554.0,1552.0,52.61258521,52.64644144,52.71428479,1.0,12757053.76,573301.0,573278,572197.0,22.25193007,22.25282282,22.29486306,0,22.35,-0.577060698,-0.074793622,-36.82348271926913,False
90657,"Influenza vaccine, trivalent, 0.25 ml dosage",Afluria Trivalent  (90657)*,Flu Vacc TS  (6 Mos Up)*,1392.0,57.0,57.0,57.0,24.42105263,24.42105263,24.42105263,0.0,12045.02,195.0,195.0,195.0,61.76933333,61.76933333,61.76933333,0.0,2062.93,63.0,63.0,63.0,32.74492064,32.74492064,32.74492064,0.0,2283.91,58.0,58.0,56.0,39.37775862,39.37775862,40.78410714,1.0,53322.69,785.0,785,781.0,67.92699363,67.92699363,68.27489117,1,10.929,0.725009143,0.291425934,765.3031609195403,False
90658,"Influenza vaccine, trivalent, 0.5 ml dosage",Afluria Trivalent  (90658)*,Flu Vacc TS  (6 Mos Up)*,904.2,77.0,77.0,77.0,11.74285714,11.74285714,11.74285714,0.0,3302.16,253.0,253.0,251.0,13.05201581,13.05201581,13.15601594,1.0,3092.39,248.0,247.0,245.0,12.46931452,12.51979757,12.622,1.0,2789.93,214.0,214.0,211.0,13.03705608,13.03705608,13.22241706,1.0,2681060.95,110632.0,110622,110344.0,24.23404576,24.23623646,24.29729709,1,21.858,0.85885875,0.198568988,265.2023888520239,False
90660,"Influenza vaccine, trivalent for nasal administration",Flumist Quad ,Flu Vacc Qv Live (2-49yrs),60536.32,767.0,767.0,757.0,78.9261017,78.9261017,79.96871863,0.0,9211.26,160.0,160.0,160.0,57.570375,57.570375,57.570375,0.0,563.56,14.0,14.0,13.0,40.25428571,40.25428571,43.35076923,1.0,884.96,25.0,25.0,25.0,35.3984,35.3984,35.3984,1.0,5916.56,158.0,158,158.0,37.44658228,37.44658228,37.44658228,1,28.871,0.057860872,-0.170057732,-84.7839115426904,False
90661,"Influenza vaccine, trivalent derived from cell cultures",Flucelvax Trivalent *,Flu Vac TS  (6ms Up) CELl*,10462.11,434.0,434.0,431.0,24.10624424,24.10624424,24.27403712,0.0,18390.04,701.0,701.0,698.0,26.23400856,26.23400856,26.34676218,0.0,10484.72,323.0,323.0,318.0,32.46043344,32.46043344,32.97081761,1.0,5602.92,106.0,106.0,104.0,52.85773585,52.85773585,53.87423077,1.0,13321948.99,572527.5,369247,368645.0,23.26866219,36.07869256,36.13760933,1,36.849,-0.559787005,-0.008801889,75.77754391800507,False
